mes_competencia,actual,linear,deep,linear_mv,deep_mv,central,lo,hi,u_pct
201301,13787456,,,,,,,,
201302,13510182,,,,,,,,
201303,13823927,,,,,,,,
201304,13599606,,,,,,,,
201305,13725025,,,,,,,,
201306,13533536,,,,,,,,
201307,13724694,,,,,,,,
201308,13716693,,,,,,,,
201309,13792442,,,,,,,,
201310,13781284,,,,,,,,
201311,13781016,,,,,,,,
201312,14036160,,,,,,,,
201401,13995682,,,,,,,,
201402,14034360,,,,,,,,
201403,14003024,,,,,,,,
201404,14094799,,,,,,,,
201405,13890087,,,,,,,,
201406,14018789,,,,,,,,
201407,14152503,,,,,,,,
201408,13912030,,,,,,,,
201409,13931869,,,,,,,,
201410,13930836,,,,,,,,
201411,13996217,,,,,,,,
201412,13952468,,,,,,,,
201501,13929603,,,,,,,,
201502,13963230,,,,,,,,
201503,13927908,,,,,,,,
201504,13705865,,,,,,,,
201505,13683077,,,,,,,,
201506,13667261,,,,,,,,
201507,13777732,,,,,,,,
201508,13747653,,,,,,,,
201509,13830571,,,,,,,,
201510,13921151,,,,,,,,
201511,13733257,,,,,,,,
201512,13887495,,,,,,,,
201601,13919363,,,,,,,,
201602,13916667,,,,,,,,
201603,13791526,,,,,,,,
201604,13842625,,,,,,,,
201605,13763319,,,,,,,,
201606,13756595,,,,,,,,
201607,13855314,,,,,,,,
201608,13799146,,,,,,,,
201609,13835314,,,,,,,,
201610,13899309,,,,,,,,
201611,13502822,,,,,,,,
201612,13522144,,,,,,,,
201701,13513783,,,,,,,,
201702,13612741,,,,,,,,
201703,13560026,,,,,,,,
201704,13440986,,,,,,,,
201705,13268162,,,,,,,,
201706,13238585,,,,,,,,
201707,12696360,,,,,,,,
201708,13449178,,,,,,,,
201709,13371544,,,,,,,,
201710,13515563,,,,,,,,
201711,13629161,,,,,,,,
201712,13781279,,,,,,,,
201801,13953510,,,,,,,,
201802,14032936,,,,,,,,
201803,14116858,,,,,,,,
201804,13725755,,,,,,,,
201805,13871859,,,,,,,,
201806,13689460,,,,,,,,
201807,13721322,,,,,,,,
201808,13904412,,,,,,,,
201809,13691102,,,,,,,,
201810,13897960,,,,,,,,
201811,14179019,,,,,,,,
201812,14094558,,,,,,,,
201901,13713768,,,,,,,,
201902,13866875,,,,,,,,
201903,14057400,,,,,,,,
201904,14086391,,,,,,,,
201905,14290596,,,,,,,,
201906,14024662,,,,,,,,
201907,13794279,,,,,,,,
201908,13779706,,,,,,,,
201909,13490913,,,,,,,,
201910,13459635,,,,,,,,
201911,13144206,,,,,,,,
201912,13125342,,,,,,,,
202001,13182869,,,,,,,,
202002,13171807,,,,,,,,
202003,13013532,,,,,,,,
202004,14226060,,,,,,,,
202005,14233504,,,,,,,,
202006,14235124,,,,,,,,
202007,14235073,,,,,,,,
202008,14234937,,,,,,,,
202009,14226008,,,,,,,,
202010,14225847,,,,,,,,
202011,14225563,,,,,,,,
202012,14225783,,,,,,,,
202101,14184626,,,,,,,,
202102,14216912,,,,,,,,
202103,14475551,,,,,,,,
202104,14563192,,,,,,,,
202105,14646110,,,,,,,,
202106,14645817,,,,,,,,
202107,14645755,,,,,,,,
202108,14606425,,,,,,,,
202109,14606385,,,,,,,,
202110,14605907,,,,,,,,
202111,14544566,,,,,,,,
202112,14137003,,,,,,,,
202201,17305728,,,,,,,,
202202,17213991,,,,,,,,
202203,17716596,,,,,,,,
202204,17257506,,,,,,,,
202205,17171762,,,,,,,,
202206,17350661,,,,,,,,
202207,17131049,,,,,,,,
202208,19296172,,,,,,,,
202209,20003294,,,,,,,,
202210,19963247,,,,,,,,
202211,20434212,,,,,,,,
202212,20916224,,,,,,,,
202301,21243010,,,,,,,,
202302,20904792,,,,,,,,
202303,20345809,,,,,,,,
202304,20031369,,,,,,,,
202305,20232933,,,,,,,,
202306,20636113,,,,,,,,
202307,20045589,,,,,,,,
202308,20045627,,,,,,,,
202309,20527862,,,,,,,,
202310,20537071,,,,,,,,
202311,20531800,,,,,,,,
202312,20739459,,,,,,,,
202401,20572206,,,,,,,,
202402,20728192,,,,,,,,
202403,20284399,,,,,,,,
202404,20263991,,,,,,,,
202405,20278307,,,,,,,,
202406,20365319,,,,,,,,
202407,20481565,,,,,,,,
202408,20441614,,,,,,,,
202409,20440554,,,,,,,,
202410,20435913,,,,,,,,
202411,20381268,,,,,,,,
202412,20513129,,,,,,,,
202501,20314164,,,,,,,,
202502,20330074,,,,,,,,
202503,20237378,,,,,,,,
202504,20220091,,,,,,,,
202505,20227711,,,,,,,,
202506,19752779,,,,,,,,
202507,18843744,,,,,,,,
202508,18684745,,,,,,,,
202509,18679424,,,,,,,,
202510,18194843,,,,,,,,
202511,17947532,,,,,,,,
202512,18401764,,,,,,,,
202601,,18156988,18327909,18154872,18413194,18156988,17922918,18391058,1.29
202602,,17969571,18342060,17966602,18341896,17969571,17658996,18280146,1.73
202603,,17784481,18165272,17781551,17921819,17784481,17398998,18169964,2.17
202604,,17547473,18205906,17544010,17853292,17547473,17088273,18006673,2.62
202605,,17246242,18183822,17241367,17732425,17246242,16717425,17775059,3.07
202606,,16914997,18105027,16908566,17532554,16914997,16320325,17509669,3.52
202607,,16703592,17787524,16695336,17050803,16703592,16083869,17323315,3.71
202608,,16468549,17732260,16458156,16981372,16468549,15825520,17111578,3.90
202609,,16275768,17653549,16264076,16950561,16275768,15608615,16942921,4.10
202610,,16187768,17517304,16175773,16871295,16187768,15492742,16882794,4.29
202611,,16152027,17375595,16140546,16736436,16152027,15427125,16876929,4.49
202612,,16122736,17467965,16113042,16981648,16122736,15367795,16877677,4.68
202701,,16113818,17318692,16106632,16941960,16113818,15327958,16899678,4.88
202702,,16102012,17304850,16097656,16947474,16102012,15285415,16918609,5.07
202703,,16056079,17204707,16054188,16698351,16056079,15210587,16901571,5.27
202704,,15967852,17162389,15967755,16587387,15967852,15095954,16839750,5.46
202705,,15850670,17216221,15851604,16537933,15850670,14954346,16746994,5.65
202706,,15718237,17108397,15719324,16478182,15718237,14798834,16637640,5.85
202707,,15583109,16853381,15583873,16184543,15583109,14641306,16524912,6.04
202708,,15476284,16784156,15476676,16177332,15476284,14510841,16441727,6.24
202709,,15415318,16686378,15415672,16174206,15415318,14423700,16406936,6.43
202710,,15402791,16541721,15403765,16188436,15402791,14382025,16423557,6.63
202711,,15434893,16392948,15437312,16105737,15434893,14381984,16487802,6.82
202712,,15498658,16377051,15503279,16228032,15498658,14411259,16586057,7.02
202801,,15571237,16460920,15578529,16186281,15571237,14448465,16694009,7.21
202802,,15627249,16384740,15637257,16209388,15627249,14470048,16784450,7.41
202803,,15648340,16274525,15660660,16025473,15648340,14459146,16837534,7.60
202804,,15626052,16222127,15639894,15946223,15626052,14408164,16843940,7.79
202805,,15563381,16314827,15577777,15953664,15563381,14320111,16806651,7.99
202806,,15475661,16311917,15489745,15967835,15475661,14209304,16742018,8.18
202807,,15385927,16175713,15399141,15806017,15385927,14096992,16674862,8.38
202808,,15316942,16136394,15329158,15828042,15316942,14003999,16629885,8.57
202809,,15285983,16042168,15297511,15850843,15285983,13945967,16625999,8.77
202810,,15301019,15956009,15312510,15896056,15301019,13929930,16672108,8.96
202811,,15358286,15844192,15370547,15836107,15358286,13952198,16764374,9.16
202812,,15442971,15740128,15456747,15902025,15442971,13999098,16886844,9.35
